,original_0,original_1,original_2,original_3,original_4,noisy_0,noisy_1,noisy_2,noisy_3,noisy_4,abs_diff_between_act_mean,abs_diff_between_act_median
7 (77).jpg,22,2,13,10,6,7,2,12,4,0,0.8835049271583557,0.22810083627700806
4 (104).jpg,21,9,8,6,6,6,5,2,0,0,0.9420977234840393,0.22824543714523315
11 (44).jpg,8,10,8,0,1,1,3,3,1,1,0.8494628667831421,0.16105298697948456
5 (68).jpg,10,1,8,1,0,5,0,5,0,1,0.900738537311554,0.12907689809799194
5 (213).jpg,16,5,7,4,2,2,9,1,0,0,0.9562677145004272,0.2904670238494873
5 (174).jpg,27,9,8,7,5,4,9,1,0,3,0.8835667371749878,0.20709359645843506
4 (19).jpg,16,4,15,4,3,2,0,9,1,0,0.8919792175292969,0.15459176898002625
3 (44).jpg,11,3,6,2,6,1,4,6,0,3,0.9526190161705017,0.18221378326416016
9 (34).jpg,18,12,7,0,4,6,3,4,0,3,0.9040665626525879,0.221185564994812
3 (16).jpg,11,3,3,3,0,0,4,3,0,0,0.8777549862861633,0.15727849304676056
7 (239).jpg,26,1,9,15,13,11,3,16,8,8,0.9074665904045105,0.1996464729309082
11 (57).jpg,3,6,5,1,1,4,4,2,0,1,0.9430917501449585,0.26821088790893555
11 (53).jpg,13,6,6,1,1,2,1,2,1,2,0.8848310112953186,0.1840234100818634
3 (28).jpg,8,3,8,4,0,3,2,11,0,1,0.9328885078430176,0.2046119123697281
5 (165).jpg,19,7,9,4,3,3,10,1,0,0,0.9316706657409668,0.211816668510437
5 (191).jpg,17,8,12,4,4,6,6,6,0,3,0.9213542342185974,0.19773033261299133
8 (5).jpg,6,6,29,0,5,5,0,3,0,0,0.8752686977386475,0.16905651986598969
11 (47).jpg,8,13,10,3,3,4,2,1,0,1,0.8781690001487732,0.1779935359954834
9 (64).jpg,18,16,11,4,5,4,4,5,0,1,0.8804855346679688,0.18796640634536743
5 (129).jpg,8,7,16,1,4,5,8,16,0,2,0.8826740384101868,0.18003541231155396
7 (234).jpg,21,6,12,11,13,8,1,18,10,8,0.9015591144561768,0.24027161300182343
5 (169).jpg,15,10,9,0,6,5,10,2,0,1,0.9366008043289185,0.23183494806289673
7 (52).jpg,35,3,12,22,7,6,3,8,3,0,0.9229015111923218,0.2449641227722168
5 (73).jpg,13,1,18,1,0,0,1,5,0,0,0.8937004208564758,0.15083597600460052
11 (1).jpg,7,5,5,1,0,7,4,2,2,1,0.8873751759529114,0.18250077962875366
4 (56).jpg,2,5,17,1,1,0,4,10,0,2,0.9611585140228271,0.22343242168426514
7 (24).jpg,22,8,9,14,18,11,3,15,6,9,0.9373452663421631,0.27972906827926636
6 (88).jpg,5,5,13,1,0,2,2,4,1,1,0.924709141254425,0.2318868339061737
4 (49).jpg,3,2,15,0,0,0,6,8,0,0,0.9575576186180115,0.2135695219039917
5 (159).jpg,38,8,11,8,10,8,12,7,0,4,0.8646296858787537,0.17918124794960022
6 (81).jpg,4,4,6,0,0,0,2,0,0,0,0.9308830499649048,0.24228326976299286
3 (26).jpg,8,3,9,0,0,4,1,9,0,0,0.9250198602676392,0.19878661632537842
7 (161).jpg,41,6,23,16,20,13,4,27,4,13,0.8563350439071655,0.1780393123626709
3 (34).jpg,2,6,3,0,2,2,7,8,0,0,0.9197351932525635,0.17397859692573547
7 (122).jpg,27,7,21,15,11,4,5,14,4,1,0.9010709524154663,0.2521589696407318
6 (95).jpg,13,2,5,1,0,3,2,1,0,0,0.8970219492912292,0.18369457125663757
5 (48).jpg,10,10,22,1,5,3,9,15,0,0,0.8954582810401917,0.1376020908355713
11 (79).jpg,3,9,6,1,0,5,4,1,2,1,0.9263948798179626,0.22462520003318787
7 (71).jpg,27,3,9,14,8,7,4,12,4,1,0.8636022806167603,0.20744124054908752
9 (18).jpg,16,17,14,4,4,8,3,2,2,1,0.8738911151885986,0.18332505226135254
4 (129).jpg,6,9,10,1,6,5,11,10,0,0,0.9257246255874634,0.24516832828521729
7 (159).jpg,62,7,25,15,22,12,9,31,3,17,0.8510288000106812,0.19182312488555908
2 (12).jpg,62,10,26,15,12,7,5,5,0,3,0.8886987566947937,0.13675612211227417
9 (47).jpg,14,9,8,2,4,3,2,2,0,1,0.8752041459083557,0.19267767667770386
6 (100).jpg,7,3,9,0,0,6,2,2,0,1,0.9080207943916321,0.217437744140625
7 (127).jpg,23,6,20,10,14,8,4,21,3,5,0.8828834295272827,0.22954672574996948
5 (116).jpg,18,12,21,1,3,8,10,12,0,1,0.8289375305175781,0.11176662147045135
12 (68).jpg,9,16,4,0,3,2,5,4,0,1,0.9354997873306274,0.23567543923854828
11 (83).jpg,5,8,7,2,0,3,3,1,0,2,0.8992285132408142,0.19831685721874237
5 (182).jpg,25,8,15,7,11,12,11,5,4,7,0.9247782826423645,0.22413888573646545
5 (94).jpg,7,4,4,0,1,6,1,5,0,0,0.8852977156639099,0.18839552998542786
2 (2).jpg,65,15,18,11,10,19,18,9,4,5,0.8731958270072937,0.11969999969005585
3 (41).jpg,21,9,4,1,3,2,6,3,0,0,0.9095221757888794,0.15331365168094635
7 (60).jpg,41,6,11,20,11,6,2,7,2,2,0.9264311790466309,0.26452401280403137
7 (133).jpg,28,4,17,12,12,7,4,15,2,1,0.9049013257026672,0.2467675805091858
4 (62).jpg,4,6,14,0,1,1,9,5,0,1,0.8818355798721313,0.1780952513217926
7 (143).jpg,21,3,16,10,9,3,2,16,1,4,1.048750638961792,0.3769688904285431
7 (115).jpg,48,9,12,21,13,21,1,24,12,9,0.8572194576263428,0.1841975748538971
5 (149).jpg,19,11,19,2,2,0,12,7,0,0,0.8865587115287781,0.17889457941055298
5 (52).jpg,11,3,20,0,3,3,2,14,0,0,0.8756741285324097,0.1432698667049408
12 (71).jpg,3,25,5,0,6,1,5,3,0,1,0.9463499188423157,0.2412089705467224
4 (78).jpg,35,13,13,8,12,10,4,11,1,3,0.9042342305183411,0.17450740933418274
9 (13).jpg,29,13,6,4,3,8,2,1,0,2,0.8746322393417358,0.19695091247558594
4 (63).jpg,3,6,19,0,3,2,9,6,1,1,0.8376911282539368,0.1782759577035904
7 (77).jpg,22,2,13,10,6,4,0,13,0,0,0.8976805210113525,0.24130477011203766
7 (160).jpg,53,5,32,18,21,13,7,31,5,13,0.8658573627471924,0.20758089423179626
5 (58).jpg,15,4,23,2,7,7,3,15,1,6,0.8932914733886719,0.15102696418762207
9 (56).jpg,8,12,9,1,2,4,6,2,0,1,0.9197836518287659,0.22480830550193787
5 (167).jpg,10,7,15,4,5,1,7,5,0,1,0.9400674700737,0.2276558130979538
6 (59).jpg,3,1,11,0,0,2,6,2,0,3,0.9347345232963562,0.25018519163131714
12 (27).jpg,11,25,2,0,4,3,5,7,0,2,0.8597055673599243,0.13346436619758606
5 (185).jpg,18,7,8,6,6,4,6,3,0,0,0.907280445098877,0.1897357702255249
6 (42).jpg,4,3,3,1,0,0,4,1,0,1,0.9149553179740906,0.19682908058166504
7 (20).jpg,30,7,10,16,12,11,2,13,6,1,0.906330943107605,0.20834633708000183
5 (54).jpg,9,2,25,2,0,6,4,16,0,4,0.8951300978660583,0.1568795144557953
12 (56).jpg,2,24,1,0,1,3,5,2,0,0,0.9736692905426025,0.27157193422317505
5 (151).jpg,20,8,17,4,2,0,10,4,0,0,0.8447728157043457,0.1505780816078186
9 (9).jpg,26,16,4,2,3,7,4,4,3,0,0.8544632196426392,0.1519044041633606
6 (40).jpg,2,4,8,0,1,0,3,2,0,0,0.9041274189949036,0.19188722968101501
5 (154).jpg,36,16,13,6,4,3,10,8,1,2,0.8910412788391113,0.16326624155044556
8 (39).jpg,19,9,17,3,8,15,6,11,3,3,0.8661450743675232,0.163026362657547
7 (190).jpg,30,3,14,10,10,13,2,22,6,12,0.9036015868186951,0.21562460064888
7 (70).jpg,23,2,10,14,8,3,2,11,3,2,0.8846166133880615,0.20725977420806885
4 (25).jpg,22,1,19,6,1,2,3,8,0,0,0.8961198925971985,0.15846817195415497
5 (49).jpg,6,10,22,0,4,5,9,18,0,0,0.8742091655731201,0.13302037119865417
5 (217).jpg,34,10,3,9,0,4,9,1,0,0,0.9152606725692749,0.20655396580696106
9 (22).jpg,31,6,4,3,1,4,1,1,0,1,0.8913453817367554,0.2175450623035431
5 (45).jpg,14,6,16,0,2,2,1,8,0,1,0.9173114895820618,0.15679796040058136
7 (250).jpg,12,5,12,8,13,6,4,18,6,10,0.898759126663208,0.26876258850097656
7 (197).jpg,26,3,15,6,12,7,3,29,3,15,0.8698825836181641,0.1795458048582077
7 (128).jpg,26,6,20,15,15,8,3,13,6,4,0.8921377658843994,0.23763525485992432
4 (17).jpg,8,2,18,0,0,2,1,7,1,0,0.9184084534645081,0.1766977608203888
8 (58).jpg,13,5,28,0,3,4,2,3,0,4,0.8626317381858826,0.16268426179885864
8 (28).jpg,16,4,19,4,4,4,3,8,0,1,0.8457430005073547,0.15600141882896423
3 (23).jpg,18,3,2,2,0,2,3,7,1,0,0.8963381052017212,0.16588947176933289
12 (10).jpg,3,25,4,0,2,0,7,2,0,0,0.857624351978302,0.14629176259040833
4 (100).jpg,16,9,9,5,5,5,4,0,1,0,0.9287970066070557,0.22226202487945557
4 (44).jpg,7,4,20,3,1,2,4,4,0,0,0.9116254448890686,0.14924770593643188
4 (57).jpg,2,6,21,0,5,3,6,5,1,1,0.9541903734207153,0.2152218371629715
12 (5).jpg,7,19,4,0,4,3,0,5,0,0,0.876404345035553,0.1279332935810089
7 (170).jpg,26,10,14,10,15,7,2,22,4,11,0.8436641693115234,0.16914570331573486
7 (164).jpg,41,6,21,9,17,9,4,31,6,13,0.8481481671333313,0.16792169213294983
7 (89).jpg,60,8,18,26,10,13,1,8,6,1,0.9287226796150208,0.27605125308036804
8 (94).jpg,3,1,9,0,0,3,3,1,1,0,0.8878656029701233,0.14944875240325928
5 (23).jpg,14,6,8,3,2,5,7,4,1,1,0.9408427476882935,0.27501845359802246
9 (5).jpg,28,13,10,2,4,3,2,1,1,1,0.8593046069145203,0.1704695224761963
11 (19).jpg,19,17,16,2,5,5,4,4,0,2,0.8954631090164185,0.2086401879787445
4 (11).jpg,18,2,12,5,0,2,2,6,0,0,0.9068545699119568,0.16391900181770325
9 (19).jpg,19,20,11,1,3,6,3,4,0,1,0.8705061078071594,0.18070107698440552
6 (101).jpg,14,2,8,2,1,5,2,2,0,2,0.9378409385681152,0.2656180262565613
7 (262).jpg,18,3,9,5,16,6,5,13,4,20,0.8879127502441406,0.22241294384002686
4 (53).jpg,5,6,21,0,1,0,6,8,0,0,0.9124196767807007,0.18221944570541382
7 (61).jpg,46,3,12,21,9,4,1,8,1,1,0.9385125637054443,0.29657411575317383
1 (3).jpg,65,15,18,11,10,15,13,9,2,5,0.876717209815979,0.12113340198993683
5 (46).jpg,7,9,19,0,2,0,7,4,0,2,0.9029894471168518,0.1507483720779419
8 (41).jpg,27,15,20,6,8,13,1,5,4,1,0.8679648041725159,0.16147390007972717
4 (91).jpg,25,10,8,8,6,6,5,2,1,1,0.8804557919502258,0.15505513548851013
8 (54).jpg,18,7,21,3,3,3,2,2,0,2,0.8501808643341064,0.14975568652153015
3 (51).jpg,12,5,15,1,5,3,4,10,0,3,0.9727587103843689,0.23594611883163452
6 (110).jpg,3,3,5,0,0,4,4,0,0,0,0.8979727029800415,0.1782120168209076
7 (15).jpg,42,9,6,16,18,14,2,7,6,6,0.8925127387046814,0.20579564571380615
4 (6).jpg,20,2,13,5,1,3,1,13,1,3,0.9261347055435181,0.16580316424369812
9 (23).jpg,10,10,7,3,4,5,2,3,0,2,0.8955183625221252,0.2093064785003662
8 (97).jpg,10,4,15,2,4,6,2,6,0,1,0.8754792809486389,0.15458549559116364
1 (10).jpg,58,8,16,15,9,10,9,14,0,1,0.8806443214416504,0.1367153823375702
6 (58).jpg,2,4,7,0,0,1,3,3,0,2,0.908993661403656,0.21054774522781372
8 (19).jpg,12,2,16,2,5,7,4,3,0,4,0.8567027449607849,0.12960344552993774
11 (33).jpg,5,10,6,0,2,3,4,1,0,1,0.9061293601989746,0.18329784274101257
4 (105).jpg,20,9,6,5,4,8,4,4,1,2,0.9357203841209412,0.22889313101768494
7 (13).jpg,44,8,9,19,12,16,1,14,5,4,0.8723430037498474,0.1942436695098877
6 (27).jpg,2,0,6,0,0,4,6,0,0,1,0.884101152420044,0.1913081258535385
5 (203).jpg,20,9,13,5,14,9,8,6,0,3,0.9252528548240662,0.2358148694038391
12 (30).jpg,3,16,2,0,2,3,3,3,0,1,0.9563859701156616,0.21051067113876343
5 (206).jpg,31,13,5,7,1,9,9,1,0,1,0.8404703736305237,0.14137689769268036
3 (13).jpg,6,1,3,0,0,2,1,4,0,0,0.8698116540908813,0.15216507017612457
8 (14).jpg,8,4,25,3,5,5,6,1,0,1,0.8520996570587158,0.14432045817375183
12 (67).jpg,2,15,2,0,2,2,1,5,0,1,0.9870630502700806,0.26058727502822876
9 (10).jpg,22,14,9,2,3,5,6,0,1,0,0.8716362118721008,0.1681155562400818
4 (130).jpg,2,9,9,0,3,3,19,10,1,2,0.9295659065246582,0.21964013576507568
4 (135).jpg,0,6,11,0,2,0,9,10,0,2,0.9389722943305969,0.24911479651927948
8 (101).jpg,8,2,7,1,2,2,4,1,0,1,0.8751499056816101,0.17758896946907043
9 (42).jpg,13,14,13,1,2,3,6,2,0,1,0.8715167045593262,0.1688113808631897
4 (67).jpg,23,16,12,6,6,6,11,9,0,2,0.9313942193984985,0.3237490653991699
8 (91).jpg,6,6,22,2,7,5,2,8,0,1,0.858188807964325,0.14797115325927734
7 (240).jpg,14,4,9,13,12,8,1,14,7,6,0.9161927700042725,0.20785510540008545
5 (152).jpg,18,16,18,0,4,1,15,4,0,3,0.8624618649482727,0.1540343165397644
5 (132).jpg,10,7,11,1,7,4,8,8,0,8,0.8765392303466797,0.152099609375
6 (35).jpg,3,4,12,0,3,4,2,0,0,1,0.927051842212677,0.24585607647895813
7 (149).jpg,38,9,16,19,18,9,6,16,7,10,0.9817010760307312,0.34682953357696533
