,original_0,original_1,original_2,original_3,original_4,noisy_0,noisy_1,noisy_2,noisy_3,noisy_4,abs_diff_between_act_mean,abs_diff_between_act_median
7 (32).jpg,39,7,13,19,9,18,7,17,10,2,0.9145631194114685,0.26228803396224976
8 (72).jpg,15,3,23,2,5,5,1,4,3,1,0.8413739204406738,0.13843107223510742
7 (57).jpg,50,8,9,23,8,5,1,8,1,0,0.9004203081130981,0.2309357076883316
4 (121).jpg,11,4,5,4,1,4,4,4,1,1,0.9328782558441162,0.19737309217453003
5 (219).jpg,16,8,4,3,4,3,12,0,0,1,0.9499335289001465,0.23252727091312408
5 (177).jpg,29,11,13,4,12,10,8,8,1,3,0.8812509179115295,0.17605525255203247
12 (50).jpg,5,25,3,0,2,1,5,1,1,0,0.9246883988380432,0.19121068716049194
6 (84).jpg,2,4,3,0,0,0,3,1,0,0,0.9506096839904785,0.27209413051605225
11 (37).jpg,3,10,6,1,1,5,3,1,1,1,0.8910862803459167,0.17947730422019958
9 (50).jpg,10,10,6,0,2,1,1,4,0,0,0.8813412189483643,0.17781060934066772
5 (187).jpg,6,4,8,2,4,4,7,3,0,1,0.9025011658668518,0.17172515392303467
11 (10).jpg,13,13,5,0,6,5,2,3,0,3,0.8608710765838623,0.16924673318862915
12 (70).jpg,2,16,2,0,4,3,5,4,0,2,0.9342544674873352,0.20450875163078308
12 (32).jpg,5,10,2,0,4,5,0,2,0,0,0.9723695516586304,0.2930588126182556
5 (184).jpg,14,6,14,3,7,4,6,5,0,1,0.9350878000259399,0.2448580414056778
12 (59).jpg,5,20,2,0,1,0,4,2,0,0,0.8929997086524963,0.1861375868320465
11 (56).jpg,6,6,7,1,2,2,3,3,0,0,0.9106137752532959,0.24117645621299744
6 (7).jpg,4,15,10,0,2,3,2,1,0,0,0.8989700078964233,0.1646280288696289
8 (66).jpg,11,4,27,2,5,6,3,7,1,3,0.856475293636322,0.14719611406326294
5 (200).jpg,15,11,9,4,7,4,15,9,1,2,0.9429228901863098,0.25427883863449097
5 (74).jpg,12,1,14,2,0,5,1,4,0,0,0.907195508480072,0.15147200226783752
8 (13).jpg,10,4,19,2,2,5,4,5,0,1,0.849354088306427,0.14089220762252808
5 (157).jpg,27,10,14,5,7,4,9,9,0,1,0.84742271900177,0.15191367268562317
4 (142).jpg,1,5,9,1,2,0,13,4,0,2,0.9859464764595032,0.3000645637512207
7 (98).jpg,23,3,16,15,10,10,2,15,3,3,0.8769610524177551,0.22159352898597717
5 (21).jpg,9,5,6,2,1,2,4,2,0,0,0.9275099039077759,0.2809230089187622
7 (210).jpg,15,5,14,3,21,9,6,19,4,24,0.9016327857971191,0.2241545170545578
5 (112).jpg,19,7,22,1,4,2,4,10,0,1,0.8693221807479858,0.14149758219718933
3 (3).jpg,21,4,7,2,5,5,6,11,0,3,0.907112717628479,0.16669818758964539
7 (255).jpg,19,4,10,6,18,9,2,22,5,28,0.8946829438209534,0.21562865376472473
7 (113).jpg,34,12,14,19,15,17,5,19,7,11,0.9096943140029907,0.23718157410621643
7 (241).jpg,25,5,10,17,12,13,4,20,7,12,0.908219575881958,0.20043006539344788
7 (218).jpg,22,4,19,9,27,16,3,22,6,18,0.9106622934341431,0.19361191987991333
7 (87).jpg,61,5,17,25,11,8,3,9,4,2,0.9067778587341309,0.24757030606269836
12 (23).jpg,12,35,5,1,12,6,6,6,3,2,0.8624008893966675,0.15988290309906006
3 (37).jpg,19,14,2,1,2,0,4,7,0,0,0.8895988464355469,0.15637238323688507
12 (4).jpg,10,20,4,0,7,1,1,4,0,0,0.8694076538085938,0.12718045711517334
7 (202).jpg,40,3,20,10,13,21,2,25,5,23,0.8912432789802551,0.2540188431739807
6 (86).jpg,1,1,1,0,0,3,1,1,0,1,0.9506144523620605,0.26516595482826233
4 (10).jpg,24,1,11,8,0,5,1,8,0,0,0.8994868397712708,0.1516771912574768
5 (220).jpg,7,3,2,2,4,0,15,0,0,3,1.2257575988769531,0.5833998918533325
5 (115).jpg,23,19,24,2,3,6,5,10,0,1,0.8372495770454407,0.11937114596366882
7 (51).jpg,39,2,13,23,10,8,5,7,2,2,0.9176555871963501,0.2326129674911499
4 (20).jpg,9,4,21,1,5,1,1,10,0,0,0.8891651034355164,0.14785975217819214
5 (10).jpg,7,4,14,0,5,3,18,7,0,2,0.8876593112945557,0.19144535064697266
7 (78).jpg,25,5,18,8,8,7,1,12,3,2,0.8840861320495605,0.22379469871520996
5 (222).jpg,20,5,2,3,3,7,30,0,1,2,1.0602145195007324,0.4150681495666504
12 (80).jpg,2,24,5,0,3,0,7,3,0,0,0.9419010281562805,0.18865564465522766
7 (41).jpg,44,5,11,25,21,25,3,19,7,19,0.925758957862854,0.2903108596801758
9 (44).jpg,11,15,14,0,3,1,3,2,0,1,0.8509500026702881,0.1530337929725647
3 (36).jpg,27,13,3,3,1,3,4,6,1,1,0.8966357707977295,0.15534818172454834
12 (17).jpg,10,27,4,0,7,2,2,2,0,0,0.9017533659934998,0.16553355753421783
9 (26).jpg,21,13,8,1,0,7,2,3,0,2,0.9018104076385498,0.18360386788845062
11 (25).jpg,5,10,9,0,3,4,4,2,0,1,0.8793994188308716,0.18118232488632202
5 (199).jpg,11,8,12,2,3,3,9,1,0,0,0.9458760023117065,0.23973652720451355
4 (69).jpg,24,11,10,6,10,10,8,4,1,2,0.9918349981307983,0.3359280228614807
7 (21).jpg,24,8,7,12,14,12,2,13,4,3,0.8833417296409607,0.1966499388217926
8 (112).jpg,4,7,9,0,2,2,2,2,0,3,0.8860162496566772,0.17191481590270996
5 (156).jpg,22,11,14,2,6,9,14,13,1,4,0.8780550360679626,0.1564701497554779
4 (66).jpg,13,10,13,4,4,10,9,8,0,1,0.8488194346427917,0.21465426683425903
7 (16).jpg,35,4,12,16,15,11,3,9,3,6,0.9336490035057068,0.23598963022232056
1 (13).jpg,62,10,26,15,12,7,6,12,0,3,0.893215000629425,0.14124450087547302
7 (180).jpg,33,8,11,13,11,8,1,18,3,12,0.9102785587310791,0.19760635495185852
5 (5).jpg,27,14,12,3,9,11,19,5,0,4,0.9072219133377075,0.2065880298614502
7 (63).jpg,34,7,9,22,5,6,2,9,1,2,0.925773561000824,0.2750207185745239
5 (87).jpg,15,9,7,1,1,5,4,6,0,0,0.8955625891685486,0.1857723444700241
9 (54).jpg,14,9,7,0,3,5,2,0,0,1,0.9032205939292908,0.19444970786571503
8 (15).jpg,8,3,15,2,2,3,3,1,2,1,0.8551127910614014,0.14836478233337402
4 (48).jpg,10,3,22,1,0,0,2,6,0,0,0.9163821339607239,0.16861921548843384
5 (111).jpg,11,8,23,1,2,4,11,12,0,1,0.828524649143219,0.10504361987113953
6 (107).jpg,6,0,11,0,0,10,3,1,3,1,0.9316837787628174,0.2278512418270111
5 (163).jpg,21,7,12,5,6,5,7,6,1,1,0.8438190221786499,0.19525793194770813
12 (31).jpg,3,16,4,1,6,4,3,1,0,1,0.9631295800209045,0.27491775155067444
9 (29).jpg,15,19,8,0,6,5,3,0,0,1,0.8878595232963562,0.19143885374069214
6 (39).jpg,7,5,9,1,1,1,6,0,0,0,0.9101451635360718,0.21456095576286316
12 (3).jpg,16,24,9,4,5,6,5,4,1,0,0.8655949234962463,0.12974843382835388
12 (16).jpg,13,30,8,2,10,3,6,2,0,0,0.8873741030693054,0.1651192605495453
8 (104).jpg,7,4,16,0,0,4,3,3,0,1,0.8727503418922424,0.1753433644771576
8 (45).jpg,18,7,22,5,3,6,3,5,3,1,0.8604905009269714,0.148254856467247
8 (98).jpg,13,2,18,3,3,8,4,6,1,6,0.8578755855560303,0.13314324617385864
4 (52).jpg,7,6,19,0,3,0,3,9,0,1,0.8775733709335327,0.1557421237230301
12 (29).jpg,0,10,0,0,2,1,2,1,0,0,0.9638881683349609,0.22820964455604553
8 (55).jpg,15,8,27,5,3,9,3,3,1,1,0.8640371561050415,0.18717992305755615
2 (3).jpg,56,11,19,13,14,14,9,9,4,1,0.9041865468025208,0.14798851311206818
5 (104).jpg,10,2,2,2,0,2,1,2,0,0,0.8969213962554932,0.2044939398765564
12 (60).jpg,6,25,2,0,2,1,8,3,0,0,0.9702295660972595,0.293373703956604
12 (6).jpg,10,23,6,0,6,7,5,3,2,0,0.8853796124458313,0.15542829036712646
5 (196).jpg,17,12,9,2,5,4,8,3,1,1,0.9272400736808777,0.17411169409751892
7 (204).jpg,28,1,25,7,16,11,2,29,1,23,0.8924784064292908,0.2191595882177353
4 (12).jpg,12,0,11,3,0,6,0,5,0,0,0.9061954617500305,0.15049275755882263
5 (216).jpg,34,8,1,11,0,6,7,1,0,0,0.9322504997253418,0.25782230496406555
11 (71).jpg,4,4,8,0,1,1,3,2,0,0,0.9080532789230347,0.21536993980407715
2 (6).jpg,72,12,21,14,12,13,5,7,2,1,0.9082931280136108,0.1383316069841385
7 (233).jpg,23,7,12,13,14,6,0,14,5,16,0.864241361618042,0.1835848093032837
9 (71).jpg,12,10,8,0,2,0,2,1,0,0,0.9120808243751526,0.19900012016296387
8 (82).jpg,6,7,20,1,2,0,0,3,0,2,0.8384192585945129,0.13417211174964905
6 (43).jpg,7,3,7,1,0,2,4,0,0,0,0.917752206325531,0.2090083360671997
5 (41).jpg,6,8,18,0,4,2,7,9,0,0,0.9242091178894043,0.1677519679069519
5 (139).jpg,12,8,14,1,7,4,11,2,1,0,0.9045217037200928,0.1717143952846527
6 (4).jpg,7,6,5,2,0,2,2,2,0,0,0.9118251204490662,0.19483867287635803
5 (201).jpg,18,9,15,2,11,12,9,10,0,2,0.957212507724762,0.2487688809633255
4 (140).jpg,3,5,8,1,2,3,14,4,0,2,0.9343119263648987,0.20589396357536316
6 (13).jpg,3,5,9,0,1,2,4,4,0,1,0.9191746711730957,0.20968973636627197
7 (68).jpg,36,2,10,19,6,14,2,10,3,3,0.9225007891654968,0.2591399550437927
12 (73).jpg,3,26,3,0,4,0,9,1,0,1,0.9418612718582153,0.22465430200099945
11 (15).jpg,14,12,7,0,2,4,2,1,2,2,0.8962570428848267,0.2116597592830658
7 (7).jpg,48,6,10,20,11,11,6,14,5,2,0.8786779642105103,0.2046523243188858
9 (68).jpg,26,13,11,3,3,7,3,2,0,0,0.9098281860351562,0.21817801892757416
3 (4).jpg,21,4,11,4,4,6,5,12,0,1,0.9026620388031006,0.16289110481739044
12 (77).jpg,6,23,1,0,3,0,3,2,0,0,0.9590679407119751,0.2104651927947998
9 (20).jpg,21,12,10,2,1,5,3,1,1,0,0.8882597088813782,0.2103685587644577
5 (155).jpg,20,11,18,3,9,2,7,8,0,3,0.9022605419158936,0.1724644899368286
8 (51).jpg,11,5,22,5,4,6,4,3,0,3,0.8737752437591553,0.1671156883239746
4 (143).jpg,9,11,11,0,3,3,14,6,1,7,0.9231517910957336,0.2243889719247818
7 (103).jpg,35,5,11,17,25,12,11,16,4,12,0.8846917152404785,0.21360355615615845
5 (212).jpg,11,7,4,1,4,5,8,1,1,0,0.9412185549736023,0.2573869228363037
7 (141).jpg,17,2,13,10,6,7,3,15,0,1,0.9645326733589172,0.3220466375350952
5 (86).jpg,6,6,5,0,0,4,1,2,1,1,0.8965790271759033,0.19398348033428192
9 (30).jpg,10,13,9,0,4,6,4,1,2,2,0.9055343866348267,0.22131209075450897
6 (18).jpg,13,4,12,1,1,2,2,1,0,1,0.9264552593231201,0.2551220655441284
11 (12).jpg,24,14,5,1,6,4,2,1,0,2,0.8740836977958679,0.19859245419502258
9 (51).jpg,11,5,6,1,3,4,4,2,0,0,0.874060869216919,0.17081747949123383
6 (12).jpg,4,1,9,0,1,1,4,4,0,1,0.8720079660415649,0.17358824610710144
3 (47).jpg,3,6,10,0,4,2,8,8,0,2,0.9651916027069092,0.25089332461357117
4 (147).jpg,15,12,10,4,3,13,22,5,3,4,0.9935434460639954,0.23247216641902924
4 (111).jpg,14,5,4,3,3,3,4,0,0,1,0.9252201914787292,0.253708153963089
3 (7).jpg,27,6,9,3,7,3,6,14,0,3,0.9058216214179993,0.15832865238189697
5 (62).jpg,15,7,15,5,4,4,3,12,2,4,0.8313701152801514,0.13544796407222748
5 (80).jpg,20,6,14,5,3,7,3,13,3,1,0.9036521911621094,0.10273963212966919
5 (150).jpg,20,17,16,3,4,3,12,1,0,1,0.8962032794952393,0.19193795323371887
6 (93).jpg,2,4,8,0,0,5,6,7,1,1,0.9413453936576843,0.2666029930114746
5 (137).jpg,11,7,18,2,7,3,5,5,0,1,0.9055547118186951,0.20490379631519318
5 (47).jpg,1,8,25,0,2,3,7,12,0,1,0.9050993323326111,0.15079951286315918
8 (50).jpg,11,5,23,4,1,4,1,1,1,1,0.874888002872467,0.1582694947719574
12 (18).jpg,11,35,6,0,6,2,3,2,0,0,0.9191150665283203,0.17304906249046326
5 (70).jpg,9,2,12,2,0,5,3,6,0,0,0.8931024074554443,0.14490322768688202
11 (80).jpg,5,5,4,0,3,5,2,0,0,1,0.9025921821594238,0.21241754293441772
1 (4).jpg,56,11,19,13,14,18,12,10,2,2,0.898609459400177,0.1408015489578247
6 (76).jpg,2,1,7,0,0,2,2,1,0,0,0.8905609846115112,0.20092086493968964
4 (14).jpg,17,3,15,1,0,2,0,4,0,0,0.8921754360198975,0.17654085159301758
5 (43).jpg,10,9,15,0,2,0,7,11,0,0,0.9062349200248718,0.14511841535568237
7 (39).jpg,42,6,12,16,22,15,3,17,7,19,0.8649916648864746,0.23523278534412384
9 (46).jpg,8,9,10,1,4,4,4,1,0,1,0.8879990577697754,0.18692278861999512
7 (249).jpg,18,4,14,10,12,13,3,21,5,13,0.930233895778656,0.2673532962799072
9 (63).jpg,12,7,7,2,1,3,3,2,1,1,0.8939970135688782,0.20259936153888702
4 (37).jpg,12,6,23,3,7,8,6,10,1,8,0.874569833278656,0.15050595998764038
9 (35).jpg,22,18,9,1,6,3,4,2,0,0,0.8756757378578186,0.18988128006458282
11 (64).jpg,6,8,9,0,2,0,1,0,0,0,0.9029442667961121,0.20604208111763
9 (48).jpg,18,15,14,0,3,6,5,1,0,1,0.8827898502349854,0.19020342826843262
4 (35).jpg,14,5,25,2,6,3,4,10,0,3,0.8768483996391296,0.1704271137714386
7 (253).jpg,10,2,11,5,13,9,1,17,7,11,0.8887786865234375,0.212009459733963
4 (134).jpg,2,5,11,0,1,0,9,4,0,0,0.9405035376548767,0.2339431345462799
